,place_id,licence,osm_type,osm_id,boundingbox,lat,lon,display_name,place_rank,category,type,importance,icon
0,245125008,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,684313287,"['0.1827953', '0.1833935', '117.4754085', '117.4759825']",0.1830904,117.47569484044689,"Bank Mandiri, BRI, dan BNI, Guntung, Bontang, Kalimantan Timur, Indonesia",22,landuse,commercial,0.4000099999999999,
1,136170635,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,120691393,"['-6.184215', '-6.183826', '106.8239243', '106.824313']",-6.1840198,106.8241168643947,"Bank Mandiri, 5, Jalan Haji Agus Salim, RW 01, Kebon Sirih, Menteng, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, 10340, Indonesia",30,amenity,bank,0.20000999999999997,https://nominatim.openstreetmap.org/ui/mapicons/money_bank2.p.20.png
2,55824089,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,5033751698,"['-6.1639016', '-6.1638016', '106.7235232', '106.7236232']",-6.1638516,106.7235732,"Bank Mandiri, Jalan Dharma Kencana, RW 11, Taman Semanan Indah, Cengkareng, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11850, Indonesia",30,amenity,bank,0.20000999999999997,https://nominatim.openstreetmap.org/ui/mapicons/money_bank2.p.20.png
3,72239364,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,6936087685,"['-6.2146751', '-6.2145751', '106.8176007', '106.8177007']",-6.2146251,106.8176507,"Bank Mandiri, Jalan Jenderal Sudirman, RW 02, Karet Tengsin, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, 10220, Indonesia",30,amenity,bank,0.20000999999999997,https://nominatim.openstreetmap.org/ui/mapicons/money_bank2.p.20.png
4,209243978,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,448077587,"['-7.2550974', '-7.2549272', '112.750415', '112.750619']",-7.2550123,112.750517,"Bank Mandiri, Jalan Ambengan Batu II, RW 04, Tambaksari, Surabaya, Jawa Timur, 60136, Indonesia",30,amenity,bank,0.20000999999999997,https://nominatim.openstreetmap.org/ui/mapicons/money_bank2.p.20.png
5,79750640,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,7913586716,"['-7.2627911', '-7.2626911', '112.7404652', '112.7405652']",-7.2627411,112.7405152,"Bank Mandiri, Jalan Mergoyoso, RW 10, Kedungdoro, Tegalsari, Surabaya, Jawa Timur, 60011, Indonesia",30,amenity,bank,0.20000999999999997,https://nominatim.openstreetmap.org/ui/mapicons/money_bank2.p.20.png
6,98218938,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,9784316424,"['-5.4409008', '-5.4408008', '105.2737511', '105.2738511']",-5.4408508,105.2738011,"Bank Mandiri, Jalan Kapten Haji Ahmad Ibrahim, Pecoh Raya, Bandar Lampung, Lampung, 35228, Indonesia",30,amenity,atm,0.20000999999999997,https://nominatim.openstreetmap.org/ui/mapicons/money_atm2.p.20.png
7,308644899,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",relation,7626146,"['-0.8837767', '-0.8830311', '131.2766067', '131.2775669']",-0.8833952,131.27734738611014,"Bank Mandiri, Jalan Yos Sudarso, SORONG, Klaligi, Sorong, Papua Barat Daya, 98411, Indonesia",30,amenity,bank,0.20000999999999997,https://nominatim.openstreetmap.org/ui/mapicons/money_bank2.p.20.png
8,219048301,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,508001865,"['-0.8845244', '-0.8842222', '131.2864172', '131.2867195']",-0.8843733,131.286568350132,"Bank Mandiri, Jalan Basuki Rahmat, SORONG, Malaingkedi, Sorong, Papua Barat Daya, 98412, Indonesia",30,amenity,bank,0.20000999999999997,https://nominatim.openstreetmap.org/ui/mapicons/money_bank2.p.20.png
9,300663591,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,1069452298,"['0.911542', '0.9119345', '108.9888472', '108.9892793']",0.9117382,108.98906325913244,"Bank Mandiri, Jalan Merpati, Singkawang Barat, Singkawang, Kalimantan Barat, 79113, Indonesia",30,amenity,bank,0.20000999999999997,https://nominatim.openstreetmap.org/ui/mapicons/money_bank2.p.20.png
10,55979904,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,5055254963,"['-6.2421955', '-6.2420955', '106.7909157', '106.7910157']",-6.2421455,106.7909657,"Bank Mandiri, Jalan Kyai Maja, RW 01, Kramat Pela, Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, 12120, Indonesia",30,amenity,bank,0.20000999999999997,https://nominatim.openstreetmap.org/ui/mapicons/money_bank2.p.20.png
11,66823070,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,6250752018,"['-6.1668558', '-6.1667558', '106.7853255', '106.7854255']",-6.1668058,106.7853755,"Bank Mandiri, Jalan Kali Sekertariat, RW 01, Tanjung Duren Utara, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta, 11450, Indonesia",30,amenity,bank,0.20000999999999997,https://nominatim.openstreetmap.org/ui/mapicons/money_bank2.p.20.png
12,67059610,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,6250752017,"['-6.1668873', '-6.1667873', '106.7852223', '106.7853223']",-6.1668373,106.7852723,"Bank Mandiri (Link HIMBARA), Jalan Kali Sekertariat, RW 01, Tanjung Duren Utara, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta, 11450, Indonesia",30,amenity,atm,0.20000999999999997,https://nominatim.openstreetmap.org/ui/mapicons/money_atm2.p.20.png
